,trip_id,arrival_time,departure_time,indice_tratta,shape_dist_traveled,time_diff,speed,dist_diff,codice,direction_id,data_giorno,stop_code_p,stop_code_a,ritardo_partenza,ritardo_arrivo,temperature_linea,app_temp_linea,rain_linea,snow_fall_linea,snow_depth_linea,humidity_linea,precipitation_linea,wmo_code_linea,wind_speed_10m_linea,wind_speed_100m_linea,wind_dir_10m_linea,wind_dir_100m_linea,wind_gusts_linea,soil_temperature_linea,isArrivoRitardo,isPartenzaRitardo
0,0,155900,155200,1,5.23393,0.1,55.0,5.23,19210,0,20231106,6404,6313,2,1,17.0,16.0,0.0,0.0,0.0,68.0,0.0,1.0,11.0,20.0,245,246.0,29.0,18.0,1.0,1.0
1,0,160800,160400,2,9.08714,0.06,69.0,3.85,19210,0,20231106,6313,6312,1,1,17.0,16.25,0.0,0.0,0.0,71.0,0.0,1.0,8.0,17.0,252,254.0,28.0,17.0,1.0,1.0
2,0,161500,160900,3,16.41975,0.12,62.0,7.33,19210,0,20231106,6312,6310,1,0,17.0,15.85,0.0,0.0,0.0,70.0,0.0,1.0,8.0,16.0,255,254.0,26.0,17.0,0.0,1.0
3,0,162000,161600,4,19.9263,0.07,52.0,3.51,19210,0,20231106,6310,6309,2,2,16.0,15.45,0.0,0.0,0.0,69.0,0.0,1.0,7.0,14.0,259,255.0,23.0,17.0,1.0,1.0
4,0,162500,162100,5,23.30757,0.07,50.0,3.38,19210,0,20231106,6309,6308,2,1,16.0,15.25,0.0,0.0,0.0,69.0,0.0,1.0,7.0,14.0,259,255.0,23.0,17.0,1.0,1.0
5,0,163000,162600,6,28.01373,0.08,57.0,4.71,19210,0,20231106,6308,6306,1,1,15.0,14.1,0.05,0.0,0.0,78.0,0.05,26.0,5.0,12.0,252,249.0,23.0,16.0,1.0,1.0
6,0,163400,163100,7,31.85256,0.08,51.0,3.84,19210,0,20231106,6306,6304,1,2,13.0,13.0,0.1,0.0,0.0,86.0,0.1,51.0,4.0,10.0,246,243.0,22.0,15.0,1.0,1.0
7,0,163900,163500,8,35.28278,0.06,62.0,3.43,19210,0,20231106,6304,6303,4,4,13.0,12.850000000000001,0.1,0.0,0.0,86.0,0.1,51.0,4.0,10.0,246,243.0,22.0,15.0,1.0,1.0
8,0,165100,164000,9,44.93741,0.2,49.0,9.65,19210,0,20231106,6303,6300,4,0,13.0,12.15,0.1,0.0,0.0,87.0,0.1,51.0,4.0,12.0,234,235.0,30.0,14.0,0.0,1.0
9,1,133700,133200,1,5.23393,0.1,55.0,5.23,19208,0,20231106,6404,6313,3,3,17.0,16.4,0.0,0.0,0.0,68.0,0.0,1.0,10.0,14.0,293,290.0,28.0,19.0,1.0,1.0
10,1,134100,133800,2,9.08714,0.06,69.0,3.85,19208,0,20231106,6313,6312,5,5,17.0,15.9,0.0,0.0,0.0,72.0,0.0,1.0,8.0,11.0,329,323.0,29.0,18.0,1.0,1.0
11,1,134900,134200,3,16.41975,0.12,62.0,7.33,19208,0,20231106,6312,6310,5,5,16.0,15.5,0.0,0.0,0.0,74.0,0.0,1.0,7.0,10.0,333,329.0,26.0,18.0,1.0,1.0
12,1,135500,135000,4,19.9263,0.07,52.0,3.51,19208,0,20231106,6310,6309,6,6,16.0,15.1,0.0,0.0,0.0,76.0,0.0,1.0,6.0,8.0,338,335.0,23.0,18.0,1.0,1.0
13,1,140000,135600,5,23.30757,0.07,50.0,3.38,19208,0,20231106,6309,6308,6,3,15.0,14.9,0.0,0.0,0.0,76.0,0.0,1.0,6.0,8.0,338,335.0,23.0,17.0,1.0,1.0
