,trip_id,line_index,stop_code_d,stop_code_a,departure_delay,arrival_delay,isArrivalDelay,isDepartureDelay,classification_prevision_on_row,regression_prevision_on_row,classification_prevision_on_train,regression_prevision_on_train
0,6,1,6404,6313,2,0,False,True,False,0.0,0,0
1,6,2,6313,6312,2,2,True,True,True,2.34,0,0
2,6,3,6312,6310,2,1,True,True,True,2.47,0,0
3,6,4,6310,6309,2,2,True,True,True,2.0,0,0
4,6,5,6309,6308,2,0,False,True,False,0.0,0,0
5,6,6,6308,6306,1,1,True,True,True,1.01,0,0
6,6,7,6306,6304,1,0,False,True,False,0.0,0,0
7,6,8,6304,6303,1,1,True,True,True,1.0,0,0
8,6,9,6303,6302,1,1,True,True,True,1.0,0,0
9,6,10,6302,6301,1,1,True,True,True,3.17,0,0
10,6,11,6301,6300,1,1,True,True,True,2.75,0,0
11,6,12,6300,6322,2,2,True,True,True,2.03,0,0
12,6,13,6322,6323,2,2,True,True,True,2.0,0,0
13,6,14,6323,6324,2,2,True,True,True,2.0,0,0
14,6,15,6324,6325,2,0,False,True,True,1.66,0,0
15,6,16,6325,6227,1,1,True,True,True,1.95,0,0
16,6,17,6227,6226,1,1,True,True,True,1.32,0,0
17,6,18,6226,6225,1,1,True,True,True,1.01,0,0
18,6,19,6225,6224,1,0,False,True,False,0.0,0,0
19,6,20,6224,6223,1,0,False,True,True,1.1,0,0
20,6,21,6223,6222,0,0,False,False,False,0.0,0,0
21,7,1,6404,6402,1,2,True,True,True,1.21,0,0
22,7,2,6402,6400,2,1,True,True,False,0.0,0,0
23,7,3,6400,6501,8,3,True,True,True,2.73,0,0
24,7,4,6501,6500,3,4,True,True,True,3.01,0,0
25,8,1,6404,6402,2,1,True,True,True,2.67,0,0
26,8,2,6402,6400,1,0,False,True,False,0.0,0,0
27,8,3,6400,6501,6,2,True,True,True,1.9,0,0
28,8,4,6501,6500,2,2,True,True,True,1.6,0,0
29,9,1,6500,6501,0,0,False,False,True,1.28,0,0
30,9,2,6501,6400,1,1,True,True,False,0.0,0,0
31,9,3,6400,6402,2,0,False,True,True,1.8,0,0
32,9,4,6402,6404,0,1,True,False,False,0.0,0,0
33,10,1,6500,6501,1,1,True,True,True,1.37,0,0
34,10,2,6501,6400,1,2,True,True,True,1.19,0,0
35,10,3,6400,6402,3,1,True,True,True,2.31,0,0
36,10,4,6402,6404,1,0,False,True,False,0.0,0,0
37,11,1,6404,6402,1,1,True,True,True,1.46,0,0
38,11,2,6402,6400,1,0,False,True,False,0.0,0,0
39,11,3,6400,6501,6,1,True,True,True,1.24,0,0
40,11,4,6501,6500,1,2,True,True,True,1.42,0,0
41,12,1,6404,6313,8,8,True,True,True,7.37,0,0
42,12,2,6313,6312,8,8,True,True,True,7.96,0,0
43,12,3,6312,6310,8,8,True,True,True,7.32,0,0
