,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
0,0,164800,164200,1,8.01853,0.1,80.0,8.02,18586,0,20210805,6404,6402,2,4,23.0,23.15,0.1,0.0,0.0,74.0,0.1,51.0,19.0,27.0,249.0,250.0,44.0,26.0,1.0,1.0
1,0,165700,164900,2,14.83468,0.13,51.0,6.82,18586,0,20210805,6402,6400,4,1,23.0,23.45,0.05,0.0,0.0,70.0,0.05,27.0,19.0,27.0,251.0,252.0,47.0,26.0,1.0,1.0
2,0,170800,165800,3,20.90887,0.17,36.0,6.07,18586,0,20210805,6400,6501,10,4,24.0,23.5,0.05,0.0,0.0,63.0,0.05,27.0,19.0,28.0,252.0,252.0,49.0,27.0,1.0,1.0
3,0,171300,170900,4,23.53195,0.07,39.0,2.62,18586,0,20210805,6501,6500,4,3,24.0,23.3,0.1,0.0,0.0,61.0,0.1,51.0,20.0,30.0,252.0,251.0,46.0,27.0,1.0,1.0
4,1,161700,161100,1,8.01853,0.1,80.0,8.02,18582,0,20210805,6404,6402,2,1,24.0,23.55,0.2,0.0,0.0,72.0,0.2,51.0,20.0,28.0,248.0,248.0,44.0,26.0,1.0,1.0
5,1,162600,161800,2,14.83468,0.13,51.0,6.82,18582,0,20210805,6402,6400,1,0,24.0,23.950000000000003,0.1,0.0,0.0,68.0,0.1,27.0,19.0,27.0,248.0,250.0,49.0,27.0,0.0,1.0
6,1,163700,162700,3,20.90887,0.17,36.0,6.07,18582,0,20210805,6400,6501,5,0,24.0,23.8,0.05,0.0,0.0,62.0,0.05,27.0,20.0,28.0,250.0,251.0,50.0,27.0,0.0,1.0
7,1,164300,163800,4,23.53195,0.08,31.0,2.62,18582,0,20210805,6501,6500,0,0,24.0,23.3,0.1,0.0,0.0,61.0,0.1,51.0,20.0,30.0,252.0,251.0,46.0,27.0,0.0,0.0
8,2,90800,90300,1,2.62308,0.08,31.0,2.62,18557,0,20210805,6500,6501,7,7,24.0,23.0,0.1,0.0,0.0,71.0,0.1,51.0,23.0,34.0,254.0,253.0,49.0,23.0,1.0,1.0
9,2,91400,90900,2,8.69727,0.08,73.0,6.07,18557,0,20210805,6501,6400,7,6,23.0,23.15,0.8500000000000001,0.0,0.0,72.0,0.8500000000000001,56.0,21.0,32.0,254.0,254.0,50.0,23.0,1.0,1.0
10,2,92300,91500,3,11.82411,0.13,23.0,3.13,18557,0,20210805,6400,6401,7,2,23.0,23.3,1.6,0.0,0.0,73.0,1.6,61.0,20.0,30.0,255.0,255.0,52.0,22.0,1.0,1.0
11,2,92700,92400,4,15.51342,0.05,74.0,3.69,18557,0,20210805,6401,6402,3,3,23.0,23.450000000000003,0.95,0.0,0.0,76.0,0.95,56.0,19.0,28.0,254.0,254.0,46.0,22.0,1.0,1.0
12,2,93800,92800,5,23.53195,0.17,48.0,8.02,18557,0,20210805,6402,6404,3,0,23.0,23.65,0.3,0.0,0.0,80.0,0.3,51.0,19.0,26.0,250.0,250.0,40.0,22.0,0.0,1.0
13,3,124800,124200,1,8.01853,0.1,80.0,8.02,18568,0,20210805,6404,6402,3,3,24.0,25.45,0.0,0.0,0.0,72.0,0.0,1.0,16.0,21.0,240.0,237.0,40.0,25.0,1.0,1.0
14,3,125700,124900,2,14.83468,0.13,51.0,6.82,18568,0,20210805,6402,6400,3,0,25.0,25.8,0.0,0.0,0.0,66.0,0.0,1.0,17.0,23.0,240.0,238.0,46.0,26.0,0.0,1.0
15,3,130300,125800,3,20.90887,0.08,73.0,6.07,18568,0,20210805,6400,6501,1,1,26.0,25.8,0.0,0.0,0.0,58.0,0.0,2.0,20.0,27.0,240.0,240.0,51.0,27.0,1.0,1.0
16,3,131300,130400,4,23.53195,0.15,17.0,2.62,18568,0,20210805,6501,6500,1,0,26.0,25.45,0.0,0.0,0.0,55.0,0.0,2.0,21.0,29.0,240.0,241.0,49.0,27.0,0.0,1.0
17,5,182800,181600,1,14.83468,0.2,74.0,14.83,18596,1,20210805,6404,6400,1,0,23.0,22.95,0.05,0.0,0.0,71.0,0.05,26.0,18.0,26.0,250.0,250.0,45.0,25.0,0.0,1.0
18,5,183900,182900,2,20.90887,0.17,36.0,6.07,18596,1,20210805,6400,6501,4,0,23.0,23.2,0.05,0.0,0.0,68.0,0.05,26.0,14.0,23.0,252.0,252.0,44.0,26.0,0.0,1.0
19,5,184500,184000,3,23.53195,0.08,31.0,2.62,18596,1,20210805,6501,6500,1,0,23.0,23.35,0.0,0.0,0.0,69.0,0.0,0.0,11.0,20.0,253.0,254.0,39.0,26.0,0.0,1.0
20,23,60700,60400,6,37.47161,0.05,68.0,3.38,19191,1,20210805,6308,6309,7,7,19.0,21.9,0.1,0.0,0.0,95.0,0.1,51.0,2.0,4.0,281.0,292.0,17.0,20.0,1.0,1.0
21,23,61400,60800,7,40.97816,0.1,35.0,3.51,19191,1,20210805,6309,6310,7,5,19.0,22.1,0.1,0.0,0.0,95.0,0.1,51.0,2.0,4.0,281.0,292.0,17.0,20.0,1.0,1.0
22,23,62500,61900,8,48.31077,0.1,73.0,7.33,19191,1,20210805,6310,6312,4,4,19.0,22.1,0.1,0.0,0.0,94.0,0.1,51.0,4.0,7.0,276.0,284.0,19.0,21.0,1.0,1.0
23,23,62900,62600,9,52.16398,0.05,77.0,3.85,19191,1,20210805,6312,6313,4,6,20.0,22.1,0.1,0.0,0.0,94.0,0.1,51.0,6.0,10.0,270.0,276.0,22.0,21.0,1.0,1.0
24,25,142300,142000,1,2.62308,0.05,52.0,2.62,18577,0,20210805,6500,6501,2,4,26.0,25.45,0.0,0.0,0.0,55.0,0.0,3.0,22.0,30.0,244.0,245.0,48.0,28.0,1.0,1.0
25,25,142900,142400,2,8.69727,0.08,73.0,6.07,18577,0,20210805,6501,6400,4,3,26.0,25.85,0.0,0.0,0.0,58.0,0.0,3.0,20.0,28.0,242.0,242.0,49.0,28.0,1.0,1.0
26,25,143800,143000,3,15.51342,0.13,51.0,6.82,18577,0,20210805,6400,6402,4,2,25.0,25.049999999999997,0.0,0.0,0.0,66.0,0.0,2.0,19.0,26.0,240.0,242.0,46.0,27.0,1.0,1.0
27,25,144700,143900,4,23.53195,0.13,60.0,8.02,18577,0,20210805,6402,6404,2,0,24.0,23.9,0.0,0.0,0.0,71.0,0.0,2.0,20.0,27.0,242.0,243.0,42.0,26.0,0.0,1.0
28,28,172400,172000,1,2.62308,0.07,39.0,2.62,18591,0,20210805,6500,6501,3,2,24.0,23.3,0.1,0.0,0.0,61.0,0.1,51.0,20.0,30.0,252.0,251.0,46.0,27.0,1.0,1.0
29,28,173000,172500,2,8.69727,0.08,73.0,6.07,18591,0,20210805,6501,6400,4,4,24.0,23.15,0.1,0.0,0.0,64.0,0.1,51.0,19.0,28.0,252.0,251.0,48.0,27.0,1.0,1.0
30,28,173800,173100,3,15.51342,0.12,58.0,6.82,18591,0,20210805,6400,6402,6,3,23.0,22.95,0.05,0.0,0.0,71.0,0.05,26.0,18.0,26.0,250.0,250.0,45.0,25.0,1.0,1.0
31,28,174700,173900,4,23.53195,0.13,60.0,8.02,18591,0,20210805,6402,6404,3,2,23.0,22.9,0.0,0.0,0.0,74.0,0.0,1.0,18.0,25.0,249.0,249.0,41.0,25.0,1.0,1.0
32,31,92600,92200,1,2.62308,0.07,39.0,2.62,18559,0,20210805,6500,6501,2,2,24.0,23.0,0.1,0.0,0.0,71.0,0.1,51.0,23.0,34.0,254.0,253.0,49.0,23.0,1.0,1.0
33,31,93300,92700,2,8.69727,0.1,61.0,6.07,18559,0,20210805,6501,6400,2,0,24.0,23.35,0.75,0.0,0.0,70.0,0.75,56.0,21.0,31.0,252.0,252.0,50.0,23.0,0.0,1.0
34,31,94000,93400,3,15.51342,0.1,68.0,6.82,18559,0,20210805,6400,6402,1,0,23.0,23.7,0.85,0.0,0.0,74.0,0.85,56.0,19.0,26.0,249.0,249.0,46.0,23.0,0.0,1.0
35,31,95000,94100,4,23.53195,0.15,53.0,8.02,18559,0,20210805,6402,6404,0,0,23.0,23.7,0.3,0.0,0.0,79.0,0.3,51.0,18.0,25.0,248.0,248.0,40.0,23.0,0.0,0.0
36,32,122400,122000,1,2.62308,0.07,39.0,2.62,18571,0,20210805,6500,6501,3,4,25.0,24.3,0.0,0.0,0.0,63.0,0.0,3.0,22.0,32.0,236.0,236.0,51.0,26.0,1.0,1.0
37,32,123000,122500,2,8.69727,0.08,73.0,6.07,18571,0,20210805,6501,6400,4,3,25.0,25.200000000000003,0.0,0.0,0.0,62.0,0.0,2.0,20.0,28.0,238.0,238.0,52.0,26.0,1.0,1.0
38,32,123800,123100,3,15.51342,0.12,58.0,6.82,18571,0,20210805,6400,6402,5,3,25.0,25.8,0.0,0.0,0.0,66.0,0.0,1.0,17.0,23.0,240.0,238.0,46.0,26.0,1.0,1.0
39,32,124700,123900,4,23.53195,0.13,60.0,8.02,18571,0,20210805,6402,6404,3,2,24.0,25.45,0.0,0.0,0.0,72.0,0.0,1.0,16.0,21.0,240.0,237.0,40.0,25.0,1.0,1.0
40,35,71400,70800,1,8.01853,0.1,80.0,8.02,18552,0,20210805,6404,6402,1,1,21.0,22.7,0.4,0.0,0.0,92.0,0.4,51.0,15.0,24.0,260.0,258.0,28.0,21.0,1.0,1.0
41,35,72100,71500,2,11.70784,0.1,37.0,3.69,18552,0,20210805,6402,6401,1,0,21.0,22.9,0.3,0.0,0.0,89.0,0.3,51.0,13.0,23.0,256.0,256.0,32.0,21.0,0.0,1.0
42,35,72700,72200,3,14.83468,0.08,38.0,3.13,18552,0,20210805,6401,6400,5,2,22.0,23.1,0.2,0.0,0.0,86.0,0.2,51.0,12.0,22.0,252.0,255.0,36.0,21.0,1.0,1.0
43,36,171700,171100,1,8.01853,0.1,80.0,8.02,18592,0,20210805,6404,6402,1,3,23.0,23.15,0.1,0.0,0.0,74.0,0.1,51.0,19.0,27.0,249.0,250.0,44.0,26.0,1.0,1.0
44,36,172700,171800,2,14.83468,0.15,45.0,6.82,18592,0,20210805,6402,6400,3,1,23.0,23.45,0.05,0.0,0.0,70.0,0.05,27.0,19.0,27.0,251.0,252.0,47.0,26.0,1.0,1.0
45,36,173700,172800,3,20.90887,0.15,40.0,6.07,18592,0,20210805,6400,6501,8,4,24.0,23.35,0.05,0.0,0.0,66.0,0.05,27.0,18.0,27.0,250.0,251.0,47.0,27.0,1.0,1.0
46,36,174300,173800,4,23.53195,0.08,31.0,2.62,18592,0,20210805,6501,6500,4,5,23.0,23.0,0.1,0.0,0.0,66.0,0.1,51.0,19.0,28.0,248.0,249.0,44.0,26.0,1.0,1.0
47,37,141700,141100,1,8.01853,0.1,80.0,8.02,18574,0,20210805,6404,6402,2,2,24.0,25.95,0.0,0.0,0.0,69.0,0.0,2.0,17.0,22.0,237.0,237.0,38.0,26.0,1.0,1.0
48,37,142600,141800,2,14.83468,0.13,51.0,6.82,18574,0,20210805,6402,6400,2,0,25.0,26.1,0.0,0.0,0.0,64.0,0.0,2.0,18.0,24.0,238.0,238.0,44.0,27.0,0.0,1.0
49,37,143700,142700,3,20.90887,0.17,36.0,6.07,18574,0,20210805,6400,6501,8,2,25.0,24.75,0.05,0.0,0.0,62.0,0.05,27.0,21.0,30.0,244.0,245.0,50.0,27.0,1.0,1.0
50,37,144300,143800,4,23.53195,0.08,31.0,2.62,18574,0,20210805,6501,6500,2,1,24.0,23.25,0.1,0.0,0.0,63.0,0.1,51.0,23.0,33.0,249.0,250.0,50.0,27.0,1.0,1.0
51,38,102400,102000,1,2.62308,0.07,39.0,2.62,18567,0,20210805,6500,6501,6,6,24.0,23.5,0.3,0.0,0.0,67.0,0.3,51.0,23.0,33.0,249.0,248.0,50.0,24.0,1.0,1.0
52,38,103000,102500,2,8.69727,0.08,73.0,6.07,18567,0,20210805,6501,6400,6,5,24.0,23.95,0.95,0.0,0.0,68.0,0.95,56.0,21.0,30.0,246.0,245.0,50.0,24.0,1.0,1.0
53,38,103700,103100,3,15.51342,0.1,68.0,6.82,18567,0,20210805,6400,6402,6,5,24.0,24.299999999999997,0.8500000000000001,0.0,0.0,73.0,0.8500000000000001,56.0,18.0,25.0,244.0,244.0,45.0,24.0,1.0,1.0
54,38,104800,103800,4,23.53195,0.17,48.0,8.02,18567,0,20210805,6402,6404,5,1,23.0,24.2,0.1,0.0,0.0,77.0,0.1,51.0,17.0,23.0,246.0,246.0,39.0,23.0,1.0,1.0
