,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
0,262,121100,120700,15,61.90206,0.07,58.0,3.84,19197,1,20231031,6304,6306,1,1,17.0,16.799999999999997,0.3,0.0,0.0,77.0,0.3,51.0,7.0,11.0,241.0,244.0,29.0,17.0,1.0,1.0
1,262,121700,121200,16,66.60822,0.08,56.0,4.71,19197,1,20231031,6306,6308,1,0,17.0,16.7,0.35,0.0,0.0,78.0,0.35,51.0,10.0,14.0,248.0,250.0,33.0,17.0,0.0,1.0
2,262,122200,121800,17,69.98949,0.07,51.0,3.38,19197,1,20231031,6308,6309,1,1,17.0,16.65,0.4,0.0,0.0,80.0,0.4,51.0,12.0,17.0,256.0,257.0,37.0,17.0,1.0,1.0
3,262,122700,122300,18,73.49604,0.07,53.0,3.51,19197,1,20231031,6309,6310,1,0,17.0,16.85,0.4,0.0,0.0,80.0,0.4,51.0,12.0,17.0,256.0,257.0,37.0,17.0,0.0,1.0
4,262,123400,122800,19,80.82865,0.1,73.0,7.33,19197,1,20231031,6310,6312,1,1,18.0,16.5,0.2,0.0,0.0,74.0,0.2,26.0,16.0,25.0,258.0,260.0,44.0,18.0,1.0,1.0
5,262,123900,123500,20,84.68186,0.07,58.0,3.85,19197,1,20231031,6312,6313,1,1,18.0,16.15,0.0,0.0,0.0,67.0,0.0,2.0,21.0,32.0,261.0,262.0,50.0,18.0,1.0,1.0
6,262,124800,124000,21,89.91579,0.13,39.0,5.23,19197,1,20231031,6313,6404,2,0,19.0,15.5,0.05,0.0,0.0,68.0,0.05,26.0,27.0,39.0,264.0,264.0,57.0,18.0,0.0,1.0
7,263,105000,104200,6,66.60823,0.13,64.0,8.54,19195,1,20231031,6304,6308,1,0,16.0,16.0,0.35,0.0,0.0,83.0,0.35,51.0,10.0,14.0,246.0,249.0,36.0,16.0,0.0,1.0
8,263,105800,105100,7,73.49605,0.12,59.0,6.89,19195,1,20231031,6308,6310,1,0,17.0,16.1,0.3,0.0,0.0,85.0,0.3,51.0,12.0,18.0,254.0,255.0,42.0,16.0,0.0,1.0
9,263,111400,105900,8,89.9158,0.25,66.0,16.42,19195,1,20231031,6310,6404,1,0,17.0,15.65,0.35,0.0,0.0,79.0,0.35,51.0,20.0,30.0,255.0,255.0,51.0,17.0,0.0,1.0
10,265,155900,155200,1,5.23393,0.12,45.0,5.23,19210,0,20231031,6404,6313,2,1,17.0,15.35,0.1,0.0,0.0,78.0,0.1,26.0,17.0,27.0,264.0,263.0,40.0,18.0,1.0,1.0
11,265,160800,160400,2,9.08714,0.07,58.0,3.85,19210,0,20231031,6313,6312,2,2,16.0,15.4,0.2,0.0,0.0,83.0,0.2,51.0,12.0,20.0,270.0,268.0,38.0,18.0,1.0,1.0
12,265,161500,160900,3,16.41975,0.1,73.0,7.33,19210,0,20231031,6312,6310,2,1,16.0,15.5,0.2,0.0,0.0,84.0,0.2,51.0,10.0,17.0,262.0,264.0,32.0,18.0,1.0,1.0
